Deposit Number,Seniority
25734,911
25851,714
26050,689
25909,656
25848,632
25864,607
25916,601
26039,586
25985,550
26097,449
27159,359
27216,302
27215,288
27256,285
27278,284
27286,269
27332,226
27312,209
27246,198
27354,177
27366,173
27423,136
27424,133
27446,105
27466,69
27467,63
27468,63
27471,63
27474,63
27475,63
27480,56
27481,55
27482,52
27483,49
27488,42
27493,40
27495,38
27496,38
27497,38
27498,34
27499,34
27506,27
27509,24
27511,24
27513,24
27516,21
27518,21
27520,21
27521,21
27522,21
27523,21
27524,21
27528,21
27530,20
27531,20
27532,20
27533,20
27536,20
27537,20
27538,20
27544,19
27547,18
27549,18
27553,18
27554,18
27555,18
27558,18
27559,18
27560,18
27562,18
27565,18
27566,18
27567,18
27568,18
27569,17
27571,17
27572,17
27573,17
27574,17
27575,17
27576,17
27577,17
27578,17
27579,17
27581,17
27582,14
27583,14
27584,14
27587,14
27588,14
27589,14
27590,14
27591,14
27593,14
27594,14
27595,14
27596,14
27597,14
27598,14
27599,14
27601,14
27602,14
27603,14
27604,14
27606,14
27607,14
27608,14
27609,14
27612,14
27616,14
27619,14
27620,14
27621,14
27623,14
27625,14
27626,14
27627,14
27628,14
27629,14
27630,14
27631,14
27632,14
27633,14
27634,14
27635,14
27637,14
27640,13
27641,13
27643,13
27644,13
27645,13
27647,13
27648,11
27649,11
27650,11
27651,11
27652,10
27653,7
27654,7
20040,0
24473,0
24581,0
24759,0
25056,0
25407,0
25434,0
25580,0
25664,0
25810,0
25850,0
25871,0
25904,0
25935,0
25966,0
25973,0
26004,0
26014,0
26038,0
27102,0
27107,0
27117,0
27155,0
27180,0
27181,0
27182,0
27183,0
27184,0
27203,0
27207,0
27211,0
27222,0
27226,0
27239,0
27253,0
27266,0
27267,0
27277,0
27283,0
27285,0
27291,0
27292,0
27295,0
27297,0
27300,0
27305,0
27313,0
27333,0
27340,0
27350,0
27383,0
27386,0
27395,0
27396,0
27398,0
27403,0
27404,0
27405,0
27406,0
27414,0
27415,0
27416,0
27417,0
27419,0
27420,0
27422,0
27433,0
27441,0
27447,0
27451,0
27452,0
27454,0
27455,0
27465,0
27469,0
27473,0
27485,0
27486,0
27491,0
27492,0
27503,0
27508,0
27510,0
27512,0
27527,0
27656,0
82706,0
82727,0
82742,0