Room,Room Type,Status,Gender,Deposit Number,Warnings
201,DOUBLE,TAKEN,M,27162,
201,DOUBLE,TAKEN,M,27167,
202,SUITE,TAKEN,M,25322,
202,SUITE,TAKEN,M,26075,
203,DOUBLE,TAKEN,M,25797,
203,DOUBLE,AVAILABLE,,,
204,DOUBLE,AVAILABLE,,,
204,DOUBLE,AVAILABLE,,,
205,SUITE,AVAILABLE,,,
205,SUITE,AVAILABLE,,,
206,SINGLE,AVAILABLE,,,
207,SINGLE,AVAILABLE,,,
208,DOUBLE,AVAILABLE,,,
208,DOUBLE,AVAILABLE,,,
209,TRIPLE,TAKEN,M,27173,
209,TRIPLE,TAKEN,M,27426,
209,TRIPLE,AVAILABLE,,,
210,TRIPLE,TAKEN,M,27585,
210,TRIPLE,TAKEN,M,27622,
210,TRIPLE,AVAILABLE,,,
211,TRIPLE,TAKEN,F,27453,
211,TRIPLE,TAKEN,F,27541,
211,TRIPLE,AVAILABLE,,,
212,DOUBLE,AVAILABLE,,,
212,DOUBLE,AVAILABLE,,,
213,SUITE,AVAILABLE,,,
213,SUITE,AVAILABLE,,,
214,DOUBLE,AVAILABLE,,,
214,DOUBLE,AVAILABLE,,,
215,DOUBLE,AVAILABLE,,,
215,DOUBLE,AVAILABLE,,,
216,SUITE,TAKEN,F,27394,
216,SUITE,TAKEN,F,27159,
217,SINGLE,AVAILABLE,,,
218,SINGLE,TAKEN,M,25415,
219,DOUBLE,AVAILABLE,,,
219,DOUBLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
221,TRIPLE,TAKEN,F,27456,
221,TRIPLE,TAKEN,F,27542,
221,TRIPLE,TAKEN,F,27570,
222,TRIPLE,TAKEN,M,27484,
222,TRIPLE,AVAILABLE,,,
222,TRIPLE,AVAILABLE,,,
301,DOUBLE,AVAILABLE,,,
301,DOUBLE,AVAILABLE,,,
302,SUITE,AVAILABLE,,,
302,SUITE,AVAILABLE,,,
303,DOUBLE,TAKEN,F,27385,
303,DOUBLE,AVAILABLE,,,
304,DOUBLE,TAKEN,M,25911,
304,DOUBLE,TAKEN,M,25912,
305,SUITE,TAKEN,M,25865,
305,SUITE,TAKEN,F,27139,
306,SINGLE,TAKEN,M,25055,
307,SINGLE,TAKEN,M,25427,
308,DOUBLE,AVAILABLE,,,
308,DOUBLE,AVAILABLE,,,
309,TRIPLE,TAKEN,F,27387,
309,TRIPLE,TAKEN,F,27401,
309,TRIPLE,TAKEN,F,27490,
310,TRIPLE,TAKEN,F,26078,
310,TRIPLE,TAKEN,F,27112,
310,TRIPLE,TAKEN,F,27545,
311,TRIPLE,TAKEN,F,27306,
311,TRIPLE,TAKEN,F,27476,
311,TRIPLE,AVAILABLE,,,
312,DOUBLE,AVAILABLE,,,
312,DOUBLE,AVAILABLE,,,
313,SUITE,TAKEN,M,25771,
313,SUITE,AVAILABLE,,,
314,DOUBLE,TAKEN,F,25812,
314,DOUBLE,AVAILABLE,,,
315,DOUBLE,AVAILABLE,,,
315,DOUBLE,AVAILABLE,,,
316,SUITE,TAKEN,M,25919,
316,SUITE,AVAILABLE,,,
317,SINGLE,AVAILABLE,,,
318,SINGLE,TAKEN,F,25490,
319,DOUBLE,AVAILABLE,,,
319,DOUBLE,AVAILABLE,,,
320,TRIPLE,TAKEN,M,27418,
320,TRIPLE,TAKEN,M,27430,
320,TRIPLE,AVAILABLE,,,
321,TRIPLE,TAKEN,F,27248,
321,TRIPLE,TAKEN,F,27617,
321,TRIPLE,TAKEN,F,27618,
322,TRIPLE,TAKEN,F,27525,
322,TRIPLE,TAKEN,F,27526,
322,TRIPLE,AVAILABLE,,,
401,DOUBLE,TAKEN,F,27115,
401,DOUBLE,AVAILABLE,,,
402,SUITE,TAKEN,M,25842,
402,SUITE,AVAILABLE,,,
403,DOUBLE,AVAILABLE,,,
403,DOUBLE,AVAILABLE,,,
404,DOUBLE,AVAILABLE,,,
404,DOUBLE,AVAILABLE,,,
405,SUITE,AVAILABLE,,,
405,SUITE,AVAILABLE,,,
406,SINGLE,TAKEN,F,25107,
407,SINGLE,TAKEN,M,25421,
408,DOUBLE,TAKEN,M,27273,
408,DOUBLE,AVAILABLE,,,
409,TRIPLE,TAKEN,M,27507,
409,TRIPLE,TAKEN,M,27610,
409,TRIPLE,TAKEN,M,27611,
410,TRIPLE,TAKEN,F,27540,
410,TRIPLE,TAKEN,F,27561,
410,TRIPLE,TAKEN,F,27624,
411,TRIPLE,TAKEN,M,27580,
411,TRIPLE,TAKEN,M,27646,
411,TRIPLE,AVAILABLE,,,
412,DOUBLE,TAKEN,F,25918,
412,DOUBLE,TAKEN,F,25991,
413,SUITE,TAKEN,M,25307,
413,SUITE,AVAILABLE,,,
414,DOUBLE,TAKEN,M,25793,
414,DOUBLE,AVAILABLE,,,
415,DOUBLE,AVAILABLE,,,
415,DOUBLE,AVAILABLE,,,
416,SUITE,TAKEN,M,25642,
416,SUITE,AVAILABLE,,,
417,SINGLE,TAKEN,M,25094,
418,SINGLE,AVAILABLE,,,
419,DOUBLE,AVAILABLE,,,
419,DOUBLE,AVAILABLE,,,
420,TRIPLE,TAKEN,M,27236,
420,TRIPLE,TAKEN,M,27489,
420,TRIPLE,AVAILABLE,,,
421,TRIPLE,TAKEN,M,27457,
421,TRIPLE,TAKEN,M,27487,
421,TRIPLE,TAKEN,M,27517,
422,TRIPLE,TAKEN,F,27552,
422,TRIPLE,TAKEN,F,27556,
422,TRIPLE,TAKEN,F,27557,
501,DOUBLE,AVAILABLE,,,
501,DOUBLE,AVAILABLE,,,
502,SUITE,TAKEN,M,25932,
502,SUITE,TAKEN,M,26095,
503,DOUBLE,AVAILABLE,,,
503,DOUBLE,AVAILABLE,,,
504,DOUBLE,TAKEN,M,27438,
504,DOUBLE,TAKEN,M,82713,
505,SUITE,TAKEN,M,27316,
505,SUITE,AVAILABLE,,,
506,SINGLE,AVAILABLE,,,
507,SINGLE,TAKEN,M,25501,
508,DOUBLE,TAKEN,M,25888,
508,DOUBLE,TAKEN,F,25734,
509,TRIPLE,TAKEN,M,27514,
509,TRIPLE,TAKEN,M,27592,
509,TRIPLE,TAKEN,M,82730,
510,TRIPLE,TAKEN,M,27258,
510,TRIPLE,TAKEN,M,27505,
510,TRIPLE,AVAILABLE,,,
511,TRIPLE,TAKEN,M,27440,
511,TRIPLE,TAKEN,M,27529,
511,TRIPLE,AVAILABLE,,,
512,DOUBLE,TAKEN,M,27121,
512,DOUBLE,AVAILABLE,,,
513,SUITE,AVAILABLE,,,
513,SUITE,AVAILABLE,,,
514,DOUBLE,TAKEN,M,27382,
514,DOUBLE,AVAILABLE,,,
515,DOUBLE,TAKEN,F,25814,
515,DOUBLE,AVAILABLE,,,
516,SUITE,TAKEN,M,25945,
516,SUITE,TAKEN,M,25956,
517,SINGLE,AVAILABLE,,,
518,SINGLE,TAKEN,M,25626,
519,DOUBLE,TAKEN,M,25795,
519,DOUBLE,AVAILABLE,,,
520,TRIPLE,TAKEN,M,27502,
520,TRIPLE,AVAILABLE,,,
520,TRIPLE,AVAILABLE,,,
521,TRIPLE,TAKEN,M,27586,
521,TRIPLE,TAKEN,M,27615,
521,TRIPLE,AVAILABLE,,,
522,TRIPLE,TAKEN,F,27307,
522,TRIPLE,TAKEN,F,27324,
522,TRIPLE,TAKEN,F,27539,
601,DOUBLE,AVAILABLE,,,
601,DOUBLE,AVAILABLE,,,
602,SUITE,TAKEN,M,26072,
602,SUITE,AVAILABLE,,,
603,DOUBLE,AVAILABLE,,,
603,DOUBLE,AVAILABLE,,,
604,DOUBLE,TAKEN,M,25963,
604,DOUBLE,AVAILABLE,,,
605,SUITE,TAKEN,F,25906,
605,SUITE,AVAILABLE,,,
606,SINGLE,TAKEN,M,23802,
607,SINGLE,TAKEN,F,24445,
608,DOUBLE,AVAILABLE,,,
608,DOUBLE,AVAILABLE,,,
609,TRIPLE,TAKEN,M,27494,
609,TRIPLE,AVAILABLE,,,
609,TRIPLE,AVAILABLE,,,
610,TRIPLE,TAKEN,M,26012,
610,TRIPLE,TAKEN,M,27109,
610,TRIPLE,AVAILABLE,,,
611,TRIPLE,TAKEN,M,27368,
611,TRIPLE,TAKEN,M,27411,
611,TRIPLE,TAKEN,M,27442,
612,DOUBLE,AVAILABLE,,,
612,DOUBLE,AVAILABLE,,,
613,SUITE,AVAILABLE,,,
613,SUITE,AVAILABLE,,,
614,DOUBLE,AVAILABLE,,,
614,DOUBLE,AVAILABLE,,,
615,DOUBLE,AVAILABLE,,,
615,DOUBLE,AVAILABLE,,,
616,SUITE,AVAILABLE,,,
616,SUITE,AVAILABLE,,,
617,SINGLE,TAKEN,M,24399,
618,SINGLE,TAKEN,M,24546,
619,DOUBLE,AVAILABLE,,,
619,DOUBLE,AVAILABLE,,,
620,TRIPLE,TAKEN,F,25939,
620,TRIPLE,TAKEN,F,27548,
620,TRIPLE,AVAILABLE,,,
621,TRIPLE,TAKEN,M,27605,
621,TRIPLE,TAKEN,M,27613,
621,TRIPLE,TAKEN,M,27642,
622,TRIPLE,TAKEN,M,27500,
622,TRIPLE,TAKEN,M,27501,
622,TRIPLE,TAKEN,F,82735,
701,DOUBLE,TAKEN,M,27161,
701,DOUBLE,AVAILABLE,,,
702,SUITE,TAKEN,F,27279,
702,SUITE,AVAILABLE,,,
703,DOUBLE,AVAILABLE,,,
703,DOUBLE,AVAILABLE,,,
704,DOUBLE,TAKEN,M,27317,
704,DOUBLE,AVAILABLE,,,
705,SUITE,AVAILABLE,,,
705,SUITE,AVAILABLE,,,
706,SINGLE,AVAILABLE,,,
707,SINGLE,AVAILABLE,,,
708,DOUBLE,TAKEN,M,25641,
708,DOUBLE,AVAILABLE,,,
709,TRIPLE,TAKEN,M,25682,
709,TRIPLE,TAKEN,M,27262,
709,TRIPLE,TAKEN,M,27479,
710,TRIPLE,TAKEN,M,27391,
710,TRIPLE,TAKEN,M,27614,
710,TRIPLE,AVAILABLE,,,
711,TRIPLE,TAKEN,M,27519,
711,TRIPLE,TAKEN,M,27534,
711,TRIPLE,TAKEN,M,27535,
712,DOUBLE,AVAILABLE,,,
712,DOUBLE,AVAILABLE,,,
713,SUITE,TAKEN,M,25058,
713,SUITE,AVAILABLE,,,
714,DOUBLE,AVAILABLE,,,
714,DOUBLE,AVAILABLE,,,
715,DOUBLE,TAKEN,M,26016,
715,DOUBLE,AVAILABLE,,,
716,SUITE,TAKEN,M,25583,
716,SUITE,AVAILABLE,,,
717,SINGLE,TAKEN,F,17387,
718,SINGLE,TAKEN,M,25733,
719,DOUBLE,AVAILABLE,,,
719,DOUBLE,AVAILABLE,,,
720,TRIPLE,TAKEN,M,27639,
720,TRIPLE,AVAILABLE,,,
720,TRIPLE,AVAILABLE,,,
721,TRIPLE,TAKEN,M,27564,
721,TRIPLE,TAKEN,M,27636,
721,TRIPLE,TAKEN,M,27655,
722,TRIPLE,TAKEN,M,27397,
722,TRIPLE,TAKEN,M,27472,
722,TRIPLE,AVAILABLE,,,
A-01,SINGLE,TAKEN,M,25537,
A-02,SINGLE,TAKEN,M,25618,
A-03,DOUBLE,AVAILABLE,,,
A-03,DOUBLE,AVAILABLE,,,
A-04,TRIPLE,AVAILABLE,,,
A-04,TRIPLE,AVAILABLE,,,
A-04,TRIPLE,AVAILABLE,,,
B-21,SINGLE,TAKEN,M,25416,
B-22,DOUBLE,TAKEN,F,82729,
B-22,DOUBLE,AVAILABLE,,,
B-23,SINGLE,AVAILABLE,,,
B-24,DOUBLE,TAKEN,F,25727,
B-24,DOUBLE,AVAILABLE,,,
B-25,DOUBLE,TAKEN,F,25856,
B-25,DOUBLE,AVAILABLE,,,
B-26,TRIPLE,AVAILABLE,,,
B-26,TRIPLE,AVAILABLE,,,
B-26,TRIPLE,AVAILABLE,,,
C-01,QUAD,TAKEN,F,26061,
C-01,QUAD,AVAILABLE,,,
C-01,QUAD,AVAILABLE,,,
C-01,QUAD,AVAILABLE,,,
C-21,DOUBLE,TAKEN,F,25484,
C-21,DOUBLE,TAKEN,M,25691,
C-22,DOUBLE,AVAILABLE,,,
C-22,DOUBLE,AVAILABLE,,,
D-01,DOUBLE,TAKEN,F,25827,
D-01,DOUBLE,AVAILABLE,,,
D-02,DOUBLE,AVAILABLE,,,
D-02,DOUBLE,AVAILABLE,,,
D-03,SINGLE,TAKEN,F,25681,
D-21,TRIPLE,AVAILABLE,,,
D-21,TRIPLE,AVAILABLE,,,
D-21,TRIPLE,AVAILABLE,,,
D-22,DOUBLE,AVAILABLE,,,
D-22,DOUBLE,AVAILABLE,,,
E-01,DOUBLE,AVAILABLE,,,
E-01,DOUBLE,AVAILABLE,,,
E-02,TRIPLE,TAKEN,M,27250,
E-02,TRIPLE,AVAILABLE,,,
E-02,TRIPLE,AVAILABLE,,,
E-03,DOUBLE,AVAILABLE,,,
E-03,DOUBLE,AVAILABLE,,,
E-04,TRIPLE,TAKEN,F,27380,
E-04,TRIPLE,AVAILABLE,,,
E-04,TRIPLE,AVAILABLE,,,
F-21,DOUBLE,AVAILABLE,,,
F-21,DOUBLE,AVAILABLE,,,
F-22,DOUBLE,AVAILABLE,,,
F-22,DOUBLE,AVAILABLE,,,
F-23,SINGLE,AVAILABLE,,,
F-24,DOUBLE,AVAILABLE,,,
F-24,DOUBLE,AVAILABLE,,,
F-25,DOUBLE,AVAILABLE,,,
F-25,DOUBLE,AVAILABLE,,,
G-01,DOUBLE,TAKEN,M,27137,
G-01,DOUBLE,TAKEN,M,27238,
G-02,DOUBLE,AVAILABLE,,,
G-02,DOUBLE,AVAILABLE,,,
G-03,SINGLE,TAKEN,M,25643,
G-04,TRIPLE,AVAILABLE,,,
G-04,TRIPLE,AVAILABLE,,,
G-04,TRIPLE,AVAILABLE,,,
G-05,TRIPLE,AVAILABLE,,,
G-05,TRIPLE,AVAILABLE,,,
G-05,TRIPLE,AVAILABLE,,,
G-21,DOUBLE,TAKEN,M,25671,
G-21,DOUBLE,AVAILABLE,,,
G-22,TRIPLE,AVAILABLE,,,
G-22,TRIPLE,AVAILABLE,,,
G-22,TRIPLE,AVAILABLE,,,
G-23,SINGLE,TAKEN,M,25343,
G-24,DOUBLE,AVAILABLE,,,
G-24,DOUBLE,AVAILABLE,,,
G-25,DOUBLE,AVAILABLE,,,
G-25,DOUBLE,AVAILABLE,,,
S-01,TRIPLE,AVAILABLE,,,
S-01,TRIPLE,AVAILABLE,,,
S-01,TRIPLE,AVAILABLE,,,
S-02,TRIPLE,TAKEN,M,27543,
S-02,TRIPLE,AVAILABLE,,,
S-02,TRIPLE,AVAILABLE,,,
S-03,TRIPLE,TAKEN,F,27470,
S-03,TRIPLE,AVAILABLE,,,
S-03,TRIPLE,AVAILABLE,,,
S-04,TRIPLE,TAKEN,F,27392,
S-04,TRIPLE,AVAILABLE,,,
S-04,TRIPLE,AVAILABLE,,,
S-05,TRIPLE,TAKEN,F,25870,
S-05,TRIPLE,TAKEN,F,25908,
S-05,TRIPLE,AVAILABLE,,,
S-06,TRIPLE,AVAILABLE,,,
S-06,TRIPLE,AVAILABLE,,,
S-06,TRIPLE,AVAILABLE,,,
S-07,TRIPLE,TAKEN,F,82724,
S-07,TRIPLE,AVAILABLE,,,
S-07,TRIPLE,AVAILABLE,,,
S-08,TRIPLE,TAKEN,M,25860,
S-08,TRIPLE,TAKEN,M,26000,
S-08,TRIPLE,TAKEN,M,27338,
S-09,TRIPLE,AVAILABLE,,,
S-09,TRIPLE,AVAILABLE,,,
S-09,TRIPLE,AVAILABLE,,,
S-10,TRIPLE,TAKEN,F,27116,
S-10,TRIPLE,AVAILABLE,,,
S-10,TRIPLE,AVAILABLE,,,
S-11,TRIPLE,AVAILABLE,,,
S-11,TRIPLE,AVAILABLE,,,
S-11,TRIPLE,AVAILABLE,,,
S-12,TRIPLE,AVAILABLE,,,
S-12,TRIPLE,AVAILABLE,,,
S-12,TRIPLE,AVAILABLE,,,
S-13,TRIPLE,TAKEN,M,27563,
S-13,TRIPLE,TAKEN,M,27638,
S-13,TRIPLE,AVAILABLE,,,
S-14,TRIPLE,TAKEN,M,27268,
S-14,TRIPLE,TAKEN,M,27546,
S-14,TRIPLE,AVAILABLE,,,
S-15,TRIPLE,TAKEN,F,27550,
S-15,TRIPLE,TAKEN,F,27551,
S-15,TRIPLE,AVAILABLE,,,
S-16,TRIPLE,TAKEN,M,27252,
S-16,TRIPLE,AVAILABLE,,,
S-16,TRIPLE,AVAILABLE,,,
S-17,TRIPLE,TAKEN,F,27195,
S-17,TRIPLE,AVAILABLE,,,
S-17,TRIPLE,AVAILABLE,,,
S-18,TRIPLE,AVAILABLE,,,
S-18,TRIPLE,AVAILABLE,,,
S-18,TRIPLE,AVAILABLE,,,
S-19,TRIPLE,AVAILABLE,,,
S-19,TRIPLE,AVAILABLE,,,
S-19,TRIPLE,AVAILABLE,,,
S-20,TRIPLE,AVAILABLE,,,
S-20,TRIPLE,AVAILABLE,,,
S-20,TRIPLE,AVAILABLE,,,
S-21,TRIPLE,AVAILABLE,,,
S-21,TRIPLE,AVAILABLE,,,
S-21,TRIPLE,AVAILABLE,,,
S-22,TRIPLE,AVAILABLE,,,
S-22,TRIPLE,AVAILABLE,,,
S-22,TRIPLE,AVAILABLE,,,
S-23,TRIPLE,TAKEN,M,26027,
S-23,TRIPLE,AVAILABLE,,,
S-23,TRIPLE,AVAILABLE,,,
S-24,TRIPLE,AVAILABLE,,,
S-24,TRIPLE,AVAILABLE,,,
S-24,TRIPLE,AVAILABLE,,,